,order_id,final_status,reassigned,manual_assingment,orphan,cancelled_reassignment,Any_problem
410,81935190,DeliveredStatus,False,False,False,False,False
411,81941280,DeliveredStatus,False,False,False,False,False
412,81951009,DeliveredStatus,True,False,False,False,True
413,82010327,DeliveredStatus,False,False,False,False,False
414,82070438,DeliveredStatus,False,False,False,False,False
415,81931073,DeliveredStatus,False,False,False,False,False
416,82096361,DeliveredStatus,False,False,False,False,False
417,82119300,DeliveredStatus,False,False,False,False,False
418,82101090,CanceledStatus,,,,,
419,81965831,CanceledStatus,,,,,
420,82117655,CanceledStatus,,,,,
421,82114228,CanceledStatus,,,,,
422,82088944,CanceledStatus,,,,,
423,82111333,CanceledStatus,,,,,
424,82056580,DeliveredStatus,False,False,False,False,False
425,82098960,DeliveredStatus,False,False,False,False,False
426,81948560,DeliveredStatus,False,False,False,False,False
427,82102467,DeliveredStatus,False,False,False,False,False
428,82006855,DeliveredStatus,False,False,False,False,False
429,81993197,DeliveredStatus,False,False,False,False,False
430,82126531,DeliveredStatus,False,False,False,False,False
431,82065134,DeliveredStatus,False,False,False,False,False
432,82070210,DeliveredStatus,False,False,False,False,False
433,82109176,DeliveredStatus,False,False,False,False,False
434,82133378,DeliveredStatus,False,False,True,False,True
435,81983402,DeliveredStatus,False,False,False,False,False
436,82086789,DeliveredStatus,False,False,False,False,False
437,82110716,DeliveredStatus,False,False,False,False,False
438,82134639,CanceledStatus,,,,,
439,82005109,DeliveredStatus,True,False,False,False,True
440,82074170,DeliveredStatus,False,False,False,False,False
441,82121692,DeliveredStatus,False,False,False,False,False
442,82130537,DeliveredStatus,False,False,False,False,False
443,81971780,CanceledStatus,,,,,
444,82132182,DeliveredStatus,False,False,False,False,False
445,82110949,DeliveredStatus,False,False,False,False,False
446,82097818,DeliveredStatus,False,False,False,False,False
447,82124187,DeliveredStatus,False,False,False,False,False
448,81986222,DeliveredStatus,False,False,False,False,False
449,82075828,DeliveredStatus,False,False,False,False,False
450,82060414,DeliveredStatus,False,False,False,False,False
451,82064789,DeliveredStatus,False,False,False,False,False
